year,country3,population
1974,CUB,9315373
1975,CUB,9438442
1976,CUB,9544271
1977,CUB,9634680
1978,CUB,9711392
1979,CUB,9777290
1980,CUB,9835177
1981,CUB,9884213
1982,CUB,9925623
1983,CUB,9966733
1984,CUB,10017059
1985,CUB,10082989
1986,CUB,10168087
1987,CUB,10269567
1988,CUB,10379548
1989,CUB,10486509
1990,CUB,10582081
1991,CUB,10663585
1992,CUB,10733363
1993,CUB,10794135
1994,CUB,10850585
1995,CUB,10906043
1996,CUB,10961012
1997,CUB,11013983
1998,CUB,11064097
1999,CUB,11110004
2000,CUB,11150736
2001,CUB,11186542
2002,CUB,11217998
2003,CUB,11244885
2004,CUB,11266941
2005,CUB,11284253
2006,CUB,11296233
2007,CUB,11303687
2008,CUB,11309754
2009,CUB,11318602
2010,CUB,11333051
2011,CUB,11354651
2012,CUB,11382146
2013,CUB,11412167
2014,CUB,11439767
2015,CUB,11461432
2016,CUB,11475982
2017,CUB,11484636
1960,CUW,124826
1961,CUW,126125
1962,CUW,128414
1963,CUW,130860
1964,CUW,133148
1965,CUW,135266
1966,CUW,136682
1967,CUW,138140
1968,CUW,140298
1969,CUW,142581
1970,CUW,144739
1971,CUW,147389
1972,CUW,147710
1973,CUW,146912
1974,CUW,148351
1975,CUW,149129
1976,CUW,149399
1977,CUW,149459
1978,CUW,148341
1979,CUW,147851
1980,CUW,148041
1981,CUW,148629
1982,CUW,150101
1983,CUW,151159
1984,CUW,151940
1985,CUW,152711
1986,CUW,152662
1987,CUW,151456
1988,CUW,149254
1989,CUW,146937
1990,CUW,145400
1991,CUW,144403
1992,CUW,143912
1993,CUW,144299
1994,CUW,144630
1995,CUW,145139
1996,CUW,146306
1997,CUW,146956
1998,CUW,144472
1999,CUW,139428
2000,CUW,133860
2001,CUW,129047
2002,CUW,129205
2003,CUW,131897
2004,CUW,134192
2005,CUW,137658
2006,CUW,141239
2007,CUW,144056
2008,CUW,145880
2009,CUW,146833
2010,CUW,148703
2011,CUW,150831
2012,CUW,152088
2013,CUW,153822
2014,CUW,155909
2015,CUW,157980
2016,CUW,159663
2017,CUW,161014
1960,CYM,7865
1961,CYM,8026
1962,CYM,8146
1963,CYM,8227
1964,CYM,8298
1965,CYM,8369
1966,CYM,8441
1967,CYM,8521
1968,CYM,8631
1969,CYM,8827
1970,CYM,9144
1971,CYM,9581
1972,CYM,10136
1973,CYM,10784
1974,CYM,11498
1975,CYM,12244
1976,CYM,13022
1977,CYM,13841
1978,CYM,14661
1979,CYM,15444
1980,CYM,16162
1981,CYM,16789
1982,CYM,17356
1983,CYM,17906
1984,CYM,18543
1985,CYM,19313
1986,CYM,20251
1987,CYM,21339
1988,CYM,22538
1989,CYM,23776
1990,CYM,25010
1991,CYM,26213
1992,CYM,27404
1993,CYM,28646
1994,CYM,30055
1995,CYM,31672
1996,CYM,33536
1997,CYM,35597
1998,CYM,37740
1999,CYM,39808
2000,CYM,41687
2001,CYM,43316
2002,CYM,44738
2003,CYM,46028
2004,CYM,47299
2005,CYM,48622
2006,CYM,50031
2007,CYM,51483
2008,CYM,52926
2009,CYM,54279
2010,CYM,55507
2011,CYM,56579
2012,CYM,57523
2013,CYM,58371
2014,CYM,59172
2015,CYM,59963
2016,CYM,60765
2017,CYM,61559
1960,CYP,572930
1961,CYP,576395
1962,CYP,577691
1963,CYP,577913
1964,CYP,578627
1965,CYP,580966
1966,CYP,585308
1967,CYP,591308
1968,CYP,598493
1969,CYP,606113
1970,CYP,613621
1971,CYP,620859
1972,CYP,628002
1973,CYP,635111
1974,CYP,642339
1975,CYP,649755
1976,CYP,657534
1977,CYP,665528
1978,CYP,673251
1979,CYP,680011
1980,CYP,685406
1981,CYP,689173
1982,CYP,691702
1983,CYP,694077
1984,CYP,697717
1985,CYP,703687
1986,CYP,712341
1987,CYP,723380
1988,CYP,736479
1989,CYP,751044
1990,CYP,766614
1991,CYP,783129
1992,CYP,800609
1993,CYP,818751
1994,CYP,837110
1995,CYP,855384
1996,CYP,873423
1997,CYP,891192
1998,CYP,908704
1999,CYP,926050
2000,CYP,943286
2001,CYP,960282
2002,CYP,976966
2003,CYP,993563
2004,CYP,1010410
2005,CYP,1027658
2006,CYP,1045509
2007,CYP,1063712
2008,CYP,1081563
2009,CYP,1098076
2010,CYP,1112607
2011,CYP,1124835
2012,CYP,1135062
2013,CYP,1143896
2014,CYP,1152309
2015,CYP,1160985
2016,CYP,1170125
2017,CYP,1179551
1960,CZE,9602006
1961,CZE,9586651
1962,CZE,9624660
1963,CZE,9670685
1964,CZE,9727804
1965,CZE,9779358
1966,CZE,9821040
1967,CZE,9852899
1968,CZE,9876346
1969,CZE,9896580
1970,CZE,9858071
1971,CZE,9826815
1972,CZE,9867632
1973,CZE,9922266
1974,CZE,9988459
1975,CZE,10058620
1976,CZE,10125939
1977,CZE,10186755
1978,CZE,10242098
1979,CZE,10292341
1980,CZE,10304193
1981,CZE,10300591
1982,CZE,10314826
1983,CZE,10323856
1984,CZE,10330213
1985,CZE,10337118
1986,CZE,10342227
1987,CZE,10347318
1988,CZE,10355276
1989,CZE,10361068
1990,CZE,10333355
1991,CZE,10308578
1992,CZE,10319123
1993,CZE,10329855
1994,CZE,10333587
1995,CZE,10327253
1996,CZE,10315241
1997,CZE,10304131
1998,CZE,10294373
1999,CZE,10283860
2000,CZE,10255063
2001,CZE,10216605
2002,CZE,10196916
2003,CZE,10193998
2004,CZE,10197101
2005,CZE,10211216
2006,CZE,10238905
2007,CZE,10298828
2008,CZE,10384603
2009,CZE,10443936
2010,CZE,10474410
2011,CZE,10496088
2012,CZE,10510785
2013,CZE,10514272
2014,CZE,10525347
2015,CZE,10546059
2016,CZE,10566332
2017,CZE,10591323
1960,DEU,72814900
1961,DEU,73377632
1962,DEU,74025784
1963,DEU,74714353
1964,DEU,75318337
1965,DEU,75963695
1966,DEU,76600311
1967,DEU,76951336
1968,DEU,77294314
1969,DEU,77909682
1970,DEU,78169289
1971,DEU,78312842
1972,DEU,78688452
1973,DEU,78936666
1974,DEU,78967433
1975,DEU,78673554
1976,DEU,78336950
1977,DEU,78159814
1978,DEU,78091820
1979,DEU,78126350
1980,DEU,78288576
1981,DEU,78407907
1982,DEU,78333366
1983,DEU,78128282
1984,DEU,77858685
1985,DEU,77684873
1986,DEU,77720436
1987,DEU,77839920
1988,DEU,78144619
1989,DEU,78751283
1990,DEU,79433029
1991,DEU,80013896
1992,DEU,80624598
1993,DEU,81156363
1994,DEU,81438348
1995,DEU,81678051
1996,DEU,81914831
1997,DEU,82034771
1998,DEU,82047195
1999,DEU,82100243
2000,DEU,82211508
2001,DEU,82349925
2002,DEU,82488495
2003,DEU,82534176
2004,DEU,82516260
2005,DEU,82469422
2006,DEU,82376451
2007,DEU,82266372
2008,DEU,82110097
2009,DEU,81902307
2010,DEU,81776930
2011,DEU,80274983
2012,DEU,80425823
2013,DEU,80645605
2014,DEU,80982500
2015,DEU,81686611
2016,DEU,82348669
2017,DEU,82695000
1960,DJI,83636
1961,DJI,88498
1962,DJI,94204
1963,DJI,100628
1964,DJI,107583
1965,DJI,114963
1966,DJI,122866
1967,DJI,131397
1968,DJI,140462
1969,DJI,149887
1970,DJI,159659
1971,DJI,169372
1972,DJI,179224
1973,DJI,190568
1974,DJI,205181
1975,DJI,224183
1976,DJI,248556
1977,DJI,277479
1978,DJI,308008
1979,DJI,336085
1980,DJI,358960
1981,DJI,374937
1982,DJI,385271
1983,DJI,393802
1984,DJI,406017
1985,DJI,425613
1986,DJI,454361
1987,DJI,490330
1988,DJI,528999
1989,DJI,563864
1990,DJI,590398
1991,DJI,606844
1992,DJI,615054
1993,DJI,618495
1994,DJI,622366
1995,DJI,630388
1996,DJI,643682
1997,DJI,660953
1998,DJI,680612
1999,DJI,700099
2000,DJI,717584
2001,DJI,732711
2002,DJI,746221
2003,DJI,758615
2004,DJI,770752
2005,DJI,783254
2006,DJI,796208
2007,DJI,809402
2008,DJI,822934
2009,DJI,836840
2010,DJI,851146
2011,DJI,865937
2012,DJI,881185
2013,DJI,896688
2014,DJI,912164
2015,DJI,927414
2016,DJI,942333
2017,DJI,956985
1960,DMA,60011
1961,DMA,61032
1962,DMA,61982
1963,DMA,62918
1964,DMA,63926
1965,DMA,65038
1966,DMA,66311
1967,DMA,67686
1968,DMA,69040
1969,DMA,70213
1970,DMA,71073
1971,DMA,71569
1972,DMA,71734
1973,DMA,71744
1974,DMA,71807
1975,DMA,72094
1976,DMA,72642
1977,DMA,73411
1978,DMA,74242
1979,DMA,74925
1980,DMA,75314
1981,DMA,75375
1982,DMA,75170
1983,DMA,74747
1984,DMA,74213
1985,DMA,73643
1986,DMA,73025
1987,DMA,72370
1988,DMA,71742
1989,DMA,71242
1990,DMA,70926
1991,DMA,70842
1992,DMA,70970
1993,DMA,71210
1994,DMA,71373
1995,DMA,71368
1996,DMA,71145
1997,DMA,70753
1998,DMA,70290
1999,DMA,69903
2000,DMA,69676
2001,DMA,69670
2002,DMA,69824
2003,DMA,70093
2004,DMA,70379
2005,DMA,70627
2006,DMA,70807
2007,DMA,70950
2008,DMA,71074
2009,DMA,71229
2010,DMA,71440
2011,DMA,71718
2012,DMA,72044
2013,DMA,72400
2014,DMA,72778
2015,DMA,73162
2016,DMA,73543
2017,DMA,73925
1960,DNK,4579603
1961,DNK,4611687
1962,DNK,4647727
1963,DNK,4684483
1964,DNK,4722072
1965,DNK,4759012
1966,DNK,4797381
1967,DNK,4835354
1968,DNK,4864883
1969,DNK,4891860
1970,DNK,4928757
1971,DNK,4963126
1972,DNK,4991596
1973,DNK,5021861
1974,DNK,5045297
1975,DNK,5059862
1976,DNK,5072596
1977,DNK,5088419
1978,DNK,5104248
1979,DNK,5116801
1980,DNK,5123027
1981,DNK,5121572
1982,DNK,5117810
1983,DNK,5114297
1984,DNK,5111619
1985,DNK,5113691
1986,DNK,5120534
1987,DNK,5127024
1988,DNK,5129516
1989,DNK,5132594
1990,DNK,5140939
1991,DNK,5154298
1992,DNK,5171370
1993,DNK,5188628
1994,DNK,5206180
1995,DNK,5233373
1996,DNK,5263074
1997,DNK,5284991
1998,DNK,5304219
1999,DNK,5321799
2000,DNK,5339616
2001,DNK,5358783
2002,DNK,5375931
2003,DNK,5390574
2004,DNK,5404523
2005,DNK,5419432
2006,DNK,5437272
2007,DNK,5461438
2008,DNK,5493621
2009,DNK,5523095
2010,DNK,5547683
2011,DNK,5570572
2012,DNK,5591572
2013,DNK,5614932
2014,DNK,5643475
2015,DNK,5683483
2016,DNK,5728010
2017,DNK,5769603
1960,DOM,3294042
1961,DOM,3406299
1962,DOM,3521278
1963,DOM,3638628
1964,DOM,3757956
1965,DOM,3878948
1966,DOM,4001375
1967,DOM,4125109
1968,DOM,4250025
1969,DOM,4376054
1970,DOM,4503114
1971,DOM,4631114
1972,DOM,4759934
1973,DOM,4889436
1974,DOM,5019473
1975,DOM,5149935
1976,DOM,5280723
1977,DOM,5411865
1978,DOM,5543517
1979,DOM,5675931
1980,DOM,5809269
1981,DOM,5943591
1982,DOM,6078820
1983,DOM,6214857
1984,DOM,6351572
1985,DOM,6488856
1986,DOM,6626542
1987,DOM,6764624
1988,DOM,6903316
1989,DOM,7042937
1990,DOM,7183647
1991,DOM,7325622
1992,DOM,7468551
1993,DOM,7611465
1994,DOM,7753052
1995,DOM,7892423
1996,DOM,8029113
1997,DOM,8163472
1998,DOM,8296375
1999,DOM,8429112
2000,DOM,8562622
2001,DOM,8697126
2002,DOM,8832285
2003,DOM,8967760
2004,DOM,9102998
2005,DOM,9237566
2006,DOM,9371338
2007,DOM,9504353
2008,DOM,9636520
2009,DOM,9767758
2010,DOM,9897985
2011,DOM,10027095
2012,DOM,10154950
2013,DOM,10281296
2014,DOM,10405844
2015,DOM,10528394
2016,DOM,10648791
2017,DOM,10766998
1960,DZA,11124888
1961,DZA,11404859
1962,DZA,11690153
1963,DZA,11985136
1964,DZA,12295970
1965,DZA,12626952
1966,DZA,12980267
1967,DZA,13354197
1968,DZA,13744387
1969,DZA,14144438
1970,DZA,14550034
1971,DZA,14960109
1972,DZA,15377093
1973,DZA,15804428
1974,DZA,16247113
1975,DZA,16709099
1976,DZA,17190239
1977,DZA,17690184
1978,DZA,18212326
1979,DZA,18760761
1980,DZA,19337715
1981,DZA,19943664
1982,DZA,20575701
1983,DZA,21228289
1984,DZA,21893853
1985,DZA,22565905
1986,DZA,23241272
1987,DZA,23917897
1988,DZA,24591492
1989,DZA,25257672
1990,DZA,25912367
1991,DZA,26554329
1992,DZA,27181094
1993,DZA,27786259
1994,DZA,28362253
1995,DZA,28904298
1996,DZA,29411415
1997,DZA,29886839
1998,DZA,30335732
1999,DZA,30765613
2000,DZA,31183660
2001,DZA,31592153
2002,DZA,31995046
2003,DZA,32403514
2004,DZA,32831096
2005,DZA,33288437
2006,DZA,33777915
2007,DZA,34300076
2008,DZA,34860715
2009,DZA,35465760
2010,DZA,36117637
2011,DZA,36819558
2012,DZA,37565847
2013,DZA,38338562
2014,DZA,39113313
2015,DZA,39871528
2016,DZA,40606052
2017,DZA,41318142
1960,EAP,893956327
1961,EAP,893537036
1962,EAP,905445960
1963,EAP,928641158
1964,EAP,951477683
1965,EAP,975325710
1966,EAP,1002752091
1967,EAP,1029286493
1968,EAP,1056791462
1969,EAP,1085996628
1970,EAP,1116105178
1971,EAP,1146850519
1972,EAP,1175854628
1973,EAP,1203905200
1974,EAP,1230436635
1975,EAP,1254532835
1976,EAP,1276763432
1977,EAP,1297394581
1978,EAP,1317994414
1979,EAP,1338905404
1980,EAP,1359492990
1981,EAP,1380818022
1982,EAP,1404508191
1983,EAP,1428333976
1984,EAP,1451090680
1985,EAP,1474560143
1986,EAP,1499557430
1987,EAP,1526044403
1988,EAP,1552839428
1989,EAP,1578979764
1990,EAP,1604526529
1991,EAP,1629001649
1992,EAP,1651934416
1993,EAP,1674021645
1994,EAP,1695931765
1995,EAP,1717381821
1996,EAP,1738422945
1997,EAP,1759201938
1998,EAP,1779221736
1999,EAP,1798083668
2000,EAP,1815956211
2001,EAP,1833033752
2002,EAP,1849372898
2003,EAP,1865072190
2004,EAP,1880346879
2005,EAP,1895491197
2006,EAP,1910175419
2007,EAP,1924328623
2008,EAP,1938363936
2009,EAP,1952308448
2010,EAP,1966231608
2011,EAP,1980303926
2012,EAP,1994651365
2013,EAP,2009173000
2014,EAP,2023837097
2015,EAP,2038410865
2016,EAP,2053299126
2017,EAP,2068308373
1960,EAR,979287407
1961,EAR,1002523576
1962,EAR,1026586722
1963,EAR,1051414973
1964,EAR,1077037307
1965,EAR,1103433059
1966,EAR,1130587356
1967,EAR,1158571169
1968,EAR,1187273756
1969,EAR,1216765988
1970,EAR,1247052966
1971,EAR,1278138381
1972,EAR,1310015997
1973,EAR,1342708842
1974,EAR,1376073396
1975,EAR,1410093757
1976,EAR,1444719518
1977,EAR,1480010065
1978,EAR,1516215799
1979,EAR,1553703893
1980,EAR,1592673530
1981,EAR,1633179580
1982,EAR,1675078672
1983,EAR,1718098032
1984,EAR,1761829094
1985,EAR,1805996283
1986,EAR,1850487057
1987,EAR,1895289549
1988,EAR,1940220394
1989,EAR,1985084059
1990,EAR,2031828081
1991,EAR,2076397732
1992,EAR,2120566584
1993,EAR,2164507899
1994,EAR,2208443694
1995,EAR,2252578506
1996,EAR,2297015199
1997,EAR,2341634408
1998,EAR,2386184548
1999,EAR,2430487146
2000,EAR,2474600589
2001,EAR,2518353223
2002,EAR,2561812502
2003,EAR,2605067367
2004,EAR,2648271523
2005,EAR,2691528375
2006,EAR,2734859659
2007,EAR,2778276175
2008,EAR,2821797496
2009,EAR,2865439651
2010,EAR,2909410986
2011,EAR,2953406021
2012,EAR,2997066325
2013,EAR,3040700765
2014,EAR,3084236443
2015,EAR,3127578757
2016,EAR,3170657660
2017,EAR,3213426923
1960,EAS,1039944591
1961,EAS,1043546747
1962,EAS,1058028199
1963,EAS,1083802299
1964,EAS,1109204182
1965,EAS,1135650895
1966,EAS,1165517894
1967,EAS,1194424326
1968,EAS,1223721283
1969,EAS,1256501008
1970,EAS,1289258962
1971,EAS,1322942750
1972,EAS,1354794332
1973,EAS,1385052014
1974,EAS,1415128313
1975,EAS,1442241325
1976,EAS,1466464716
1977,EAS,1489361661
1978,EAS,1512159741
1979,EAS,1535391301
1980,EAS,1558178982
1981,EAS,1581806986
1982,EAS,1607731269
1983,EAS,1633628203
1984,EAS,1658253758
1985,EAS,1683448851
1986,EAS,1710171170
1987,EAS,1738276268
1988,EAS,1766656203
1989,EAS,1794408755
1990,EAS,1821481246
1991,EAS,1847530233
1992,EAS,1871898268
1993,EAS,1895356643
1994,EAS,1918771287
1995,EAS,1941918800
1996,EAS,1964635058
1997,EAS,1986799861
1998,EAS,2008140141
1999,EAS,2028095314
2000,EAS,2047150745
2001,EAS,2065521836
2002,EAS,2082953527
2003,EAS,2099545576
2004,EAS,2115557365
2005,EAS,2131363078
2006,EAS,2147029631
2007,EAS,2162104019
2008,EAS,2177421759
2009,EAS,2192352319
2010,EAS,2207154641
2011,EAS,2221934584
2012,EAS,2237082761
2013,EAS,2252311022
2014,EAS,2267745366
2015,EAS,2283108073
2016,EAS,2298726779
2017,EAS,2314364990
1960,ECA,274947938
1961,ECA,279245314
1962,ECA,283559690
1963,ECA,287888914
1964,ECA,292203393
1965,ECA,296453822
1966,ECA,300043201
1967,ECA,303700772
1968,ECA,307272189
1969,ECA,310775240
1970,ECA,314288628
1971,ECA,317799890
1972,ECA,321305116
1973,ECA,324789807
1974,ECA,328292612
1975,ECA,331816171
1976,ECA,335494688
1977,ECA,339114223
1978,ECA,342694227
1979,ECA,346252401
1980,ECA,349906056
1981,ECA,353625804
1982,ECA,357167765
1983,ECA,360691752
1984,ECA,364461750
1985,ECA,368248384
1986,ECA,372008350
1987,ECA,375756651
1988,ECA,379389656
1989,ECA,382860353
1990,ECA,385427446
1991,ECA,387397109
1992,ECA,389011005
1993,ECA,390265543
1994,ECA,390918548
1995,ECA,391384579
1996,ECA,391791161
1997,ECA,392200932
1998,ECA,392498014
1999,ECA,392517924
2000,ECA,392657969
2001,ECA,392446165
2002,ECA,392134307
2003,ECA,392280391
2004,ECA,392625999
2005,ECA,393027492
2006,ECA,393571334
2007,ECA,394257705
2008,ECA,395304586
2009,ECA,397043992
2010,ECA,399053204
2011,ECA,401241932
2012,ECA,403439691
2013,ECA,405871230
2014,ECA,408271623
2015,ECA,410770813
2016,ECA,413234935
2017,ECA,415546194
1960,ECS,667246384
1961,ECS,674972972
1962,ECS,682938669
1963,ECS,690962675
1964,ECS,698905664
1965,ECS,706609007
1966,ECS,713341112
1967,ECS,719879789
1968,ECS,726161895
1969,ECS,732317863
1970,ECS,737948178
1971,ECS,743607439
1972,ECS,749815857
1973,ECS,755867961
1974,ECS,761701324
1975,ECS,767332578
1976,ECS,772838318
1977,ECS,778094845
1978,ECS,783298994
1979,ECS,788525199
1980,ECS,793937090
1981,ECS,799215272
1982,ECS,803972967
1983,ECS,808524728
1984,ECS,813281381
1985,ECS,818146882
1986,ECS,823155058
1987,ECS,828213790
1988,ECS,833315236
1989,ECS,838462813
1990,ECS,842848473
1991,ECS,846178276
1992,ECS,849656745
1993,ECS,852762016
1994,ECS,854723055
1995,ECS,856352860
1996,ECS,857652705
1997,ECS,859112733
1998,ECS,860236341
1999,ECS,861380108
2000,ECS,862304086
2001,ECS,863615632
2002,ECS,865196877
2003,ECS,867457664
2004,ECS,870030756
2005,ECS,872661616
2006,ECS,875343235
2007,ECS,878465990
2008,ECS,881965815
2009,ECS,885591814
2010,ECS,889016507
2011,ECS,891098854
2012,ECS,894679968
2013,ECS,898881448
2014,ECS,903123160
2015,ECS,907426233
2016,ECS,911686319
2017,ECS,915545801
1960,ECU,4545550
1961,ECU,4676859
1962,ECU,4812890
1963,ECU,4953733
1964,ECU,5099468
1965,ECU,5250119
1966,ECU,5405685
1967,ECU,5566057
1968,ECU,5730906
1969,ECU,5899845
1970,ECU,6072527
1971,ECU,6248835
1972,ECU,6428711
1973,ECU,6611916
1974,ECU,6798206
1975,ECU,6987391
1976,ECU,7179399
1977,ECU,7374234
1978,ECU,7571959
1979,ECU,7772653
1980,ECU,7976445
1981,ECU,8183194
1982,ECU,8392940
1983,ECU,8606213
1984,ECU,8823751
1985,ECU,9045979
1986,ECU,9272906
1987,ECU,9504129
1988,ECU,9739176
1989,ECU,9977377
1990,ECU,10218091
1991,ECU,10460990
1992,ECU,10705667
1993,ECU,10951202
1994,ECU,11196479
1995,ECU,11440583
1996,ECU,11683479
1997,ECU,11924993
1998,ECU,12163885
1999,ECU,12398691
2000,ECU,12628596
2001,ECU,12852755
2002,ECU,13072060
2003,ECU,13289601
2004,ECU,13509647
2005,ECU,13735233
2006,ECU,13967480
2007,ECU,14205453
2008,ECU,14447562
2009,ECU,14691275
2010,ECU,14934690
2011,ECU,15177355
2012,ECU,15419666
2013,ECU,15661547
2014,ECU,15903112
2015,ECU,16144368
2016,ECU,16385068
2017,ECU,16624858
1960,EGY,26996533
1961,EGY,27744712
1962,EGY,28506176
1963,EGY,29281250
1964,EGY,30071102
1965,EGY,30875964
1966,EGY,31697616
1967,EGY,32534021
1968,EGY,33377259
1969,EGY,34216826
1970,EGY,35046273
1971,EGY,35863382
1972,EGY,36673642
1973,EGY,37488067
1974,EGY,38322022
1975,EGY,39187702
1976,EGY,40089032
1977,EGY,41026477
1978,EGY,42004655
1979,EGY,43027816
1980,EGY,44099142
1981,EGY,45216506
1982,EGY,46379620
1983,EGY,47594556
1984,EGY,48868951
1985,EGY,50204985
1986,EGY,51607703
1987,EGY,53066229
1988,EGY,54547296
1989,EGY,56006573
1990,EGY,57412215
1991,EGY,58752390
1992,EGY,60035536
1993,EGY,61275601
1994,EGY,62495745
1995,EGY,63714386
1996,EGY,64933456
1997,EGY,66151117
1998,EGY,67378056
1999,EGY,68626664
2000,EGY,69905988
2001,EGY,71226940
2002,EGY,72590118
2003,EGY,73981942
2004,EGY,75381899
2005,EGY,76778149
2006,EGY,78159048
2007,EGY,79537253
2008,EGY,80953881
2009,EGY,82465022
2010,EGY,84107606
2011,EGY,85897561
2012,EGY,87813257
2013,EGY,89807433
2014,EGY,91812566
2015,EGY,93778172
2016,EGY,95688681
2017,EGY,97553151
1960,EMU,265396502
1961,EMU,267825309
1962,EMU,270324828
1963,EMU,272876447
1964,EMU,275382197
1965,EMU,277856703
1966,EMU,280147494
1967,EMU,282114545
1968,EMU,283966953
1969,EMU,285855058
1970,EMU,287416205
1971,EMU,289032499
1972,EMU,291040689
1973,EMU,292961768
1974,EMU,294689415
1975,EMU,296244715
1976,EMU,297573002
1977,EMU,298738608
1978,EMU,299908948
1979,EMU,301099972
1980,EMU,302363486
1981,EMU,303498663
1982,EMU,304314034
1983,EMU,304920007
1984,EMU,305432240
1985,EMU,306018719
1986,EMU,306797207
1987,EMU,307668322
1988,EMU,308725859
1989,EMU,310080079
1990,EMU,311539698
1991,EMU,312708142
1992,EMU,314162056
1993,EMU,315449104
1994,EMU,316366779
1995,EMU,317181449
1996,EMU,318003015
1997,EMU,318761764
1998,EMU,319433983
1999,EMU,320258902
2000,EMU,321310787
2001,EMU,322547880
2002,EMU,324125338
2003,EMU,325885964
2004,EMU,327682507
2005,EMU,329380413
2006,EMU,330922791
2007,EMU,332645166
2008,EMU,334274730
2009,EMU,335360887
2010,EMU,336151474
2011,EMU,335429120
2012,EMU,336180504
2013,EMU,337325526
2014,EMU,338466271
2015,EMU,339533474
2016,EMU,340617355
2017,EMU,341465149
1960,ERI,1397491
1961,ERI,1432640
1962,ERI,1469645
1963,ERI,1508273
1964,ERI,1548187
1965,ERI,1589179
1966,ERI,1631147
1967,ERI,1674204
1968,ERI,1718525
1969,ERI,1764343
1970,ERI,1811878
1971,ERI,1861199
1972,ERI,1912302
1973,ERI,1965160
1974,ERI,2019717
1975,ERI,2075965
1976,ERI,2133723
1977,ERI,2193068
1978,ERI,2254450
1979,ERI,2318495
1980,ERI,2385540
1981,ERI,2454766
1982,ERI,2525521
1983,ERI,2598410
1984,ERI,2674289
1985,ERI,2753151
1986,ERI,2837111
1987,ERI,2924349
1988,ERI,3006361
1989,ERI,3071771
1990,ERI,3113311
1991,ERI,3127297
1992,ERI,3118582
1993,ERI,3099047
1994,ERI,3085443
1995,ERI,3090159
1996,ERI,3116379
1997,ERI,3161350
1998,ERI,3224223
1999,ERI,3302263
2000,ERI,3392801
2001,ERI,3497124
2002,ERI,3614639
2003,ERI,3738265
2004,ERI,3858623
2005,ERI,3969007
2006,ERI,4066648
2007,ERI,4153332
2008,ERI,4232636
2009,ERI,4310334
2010,ERI,4390840
2011,ERI,4474690
2012,ERI,
2013,ERI,
2014,ERI,
2015,ERI,
2016,ERI,
2017,ERI,
1960,ESP,30455000
1961,ESP,30739250
1962,ESP,31023366
1963,ESP,31296651
1964,ESP,31609195
1965,ESP,31954292
1966,ESP,32283194
1967,ESP,32682947
1968,ESP,33113134
1969,ESP,33441054
1970,ESP,33814531
1971,ESP,34224490
1972,ESP,34604469
1973,ESP,34988947
1974,ESP,35373335
1975,ESP,35757900
1976,ESP,36137812
1977,ESP,36511638
1978,ESP,36864898
1979,ESP,37191330
1980,ESP,37491165
1981,ESP,37758631
1982,ESP,37986012
1983,ESP,38171525
1984,ESP,38330364
1985,ESP,38469512
1986,ESP,38584624
1987,ESP,38684815
1988,ESP,38766939
1989,ESP,38827764
1990,ESP,38867322
1991,ESP,38966376
1992,ESP,39157685
1993,ESP,39361262
1994,ESP,39549108
1995,ESP,39724050
1996,ESP,39889852
1997,ESP,40057389
1998,ESP,40223509
1999,ESP,40386875
2000,ESP,40567864
2001,ESP,40850412
2002,ESP,41431558
2003,ESP,42187645
2004,ESP,42921895
2005,ESP,43653155
2006,ESP,44397319
2007,ESP,45226803
2008,ESP,45954106
2009,ESP,46362946
2010,ESP,46576897
2011,ESP,46742697
2012,ESP,46773055
2013,ESP,46620045
2014,ESP,46480882
2015,ESP,46444832
2016,ESP,46484062
2017,ESP,46572028
1960,EST,1211537
1961,EST,1225077
1962,EST,1241623
1963,EST,1258857
1964,EST,1277086
1965,EST,1294566
1966,EST,1308597
1967,EST,1318946
1968,EST,1331214
1969,EST,1345249
1970,EST,1360076
1971,EST,1376955
1972,EST,1392518
1973,EST,1405951
1974,EST,1418169
1975,EST,1429352
1976,EST,1439576
1977,EST,1450211
1978,EST,1460188
1979,EST,1468333
1980,EST,1477219
1981,EST,1487666
1982,EST,1498414
1983,EST,1508745
1984,EST,1518617
1985,EST,1528781
1986,EST,1540190
1987,EST,1552221
1988,EST,1561900
1989,EST,1568131
1990,EST,1569174
1991,EST,1561314
1992,EST,1533091
1993,EST,1494128
1994,EST,1462514
1995,EST,1436634
1996,EST,1415594
1997,EST,1399535
1998,EST,1386156
1999,EST,1390244
2000,EST,1396985
2001,EST,1388115
2002,EST,1379350
2003,EST,1370720
2004,EST,1362550
2005,EST,1354775
2006,EST,1346810
2007,EST,1340680
2008,EST,1337090
2009,EST,1334515
2010,EST,1331475
2011,EST,1327439
2012,EST,1322696
2013,EST,1317997
2014,EST,1314545
2015,EST,1315407
2016,EST,1315790
2017,EST,1315480
1960,ETH,22151278
1961,ETH,22671190
1962,ETH,23221389
1963,ETH,23798429
1964,ETH,24397024
1965,ETH,25013626
1966,ETH,25641376
1967,ETH,26281208
1968,ETH,26946079
1969,ETH,27654161
1970,ETH,28415077
1971,ETH,29245207
1972,ETH,30132580
1973,ETH,31025115
1974,ETH,31851708
1975,ETH,32566821
1976,ETH,33146891
1977,ETH,33622390
1978,ETH,34068316
1979,ETH,34590226
1980,ETH,35264898
1981,ETH,36120288
1982,ETH,37136848
1983,ETH,38285883
1984,ETH,39518801
1985,ETH,40800343
